distance_km,time_min,fare
26.03,48.35,587.74
46.13,9.17,766.34
42.51,21.01,754.71
29.22,107.13,823.17
40.33,89.7,922.4
46.3,56.39,908.24
28.12,26.27,548.28
2.43,9.14,114.24
18.23,107.84,654.6
3.97,117.74,457.32
34.11,92.79,843.66
21.75,104.09,685.31
5.13,29.25,213.12
12.32,110.53,565.63
26.85,108.35,771.76
49.89,91.64,1071.4
32.51,45.33,668.61
14.03,71.4,478.27
48.22,112.03,1119.62
38.23,64.85,819.77
38.38,108.0,936.24
39.59,27.46,714.12
0.96,28.03,149.96
6.1,101.91,443.3
48.02,48.59,907.05
0.97,37.64,177.76
9.87,46.54,335.16
43.17,53.8,858.91
20.24,91.29,632.86
4.12,15.29,157.38
39.63,110.37,996.74
19.72,73.59,568.76
41.64,109.85,1004.16
13.09,93.84,523.44
47.24,7.22,774.98
48.29,22.17,836.05
17.86,29.93,411.01
29.48,45.03,635.26
44.46,33.15,813.68
28.93,93.36,758.7
26.44,20.51,499.9
1.79,22.57,143.61
9.89,43.85,330.54
4.35,27.05,194.09
33.8,72.7,787.21
11.56,102.43,537.71
20.6,118.24,713.48
38.64,116.08,949.02
37.89,106.23,952.08
48.23,42.32,895.03
27.51,25.68,543.02
17.7,112.11,654.25
29.85,18.88,548.89
16.64,69.74,511.48
48.62,29.7,863.68
9.75,57.32,365.07
1.48,67.24,276.57
47.85,50.0,921.79
34.88,87.7,835.67
28.35,117.08,831.92
35.12,89.54,848.08
14.88,39.9,390.14
28.36,33.68,582.07
40.94,17.71,719.83
9.75,67.33,402.87
14.48,42.2,391.68
49.31,8.63,814.05
33.29,47.69,683.24
33.85,88.86,835.43
34.68,18.11,616.55
1.93,52.71,239.24
21.96,58.73,549.82
16.11,11.96,331.17
34.5,70.3,788.71
27.1,58.96,627.22
25.81,78.18,663.16
7.47,23.01,233.31
32.15,105.38,838.33
37.95,100.74,918.48
44.09,74.79,932.34
25.07,59.36,605.21
15.88,105.1,600.69
38.82,8.5,650.95
33.81,98.89,860.87
4.33,34.66,215.15
5.16,41.25,250.28
28.31,54.84,644.6
23.22,116.5,754.58
21.29,12.03,399.55
24.72,98.53,719.61
36.34,69.98,800.29
23.68,107.16,731.59
40.76,78.91,903.32
23.17,104.44,715.43
19.75,18.7,400.81
4.48,23.0,186.06
35.22,118.44,918.11
22.35,64.59,594.74
26.13,6.01,466.89
0.59,16.23,107.87
10.64,107.89,530.13
46.47,117.23,1097.7
25.73,25.18,512.42
40.41,107.17,975.55
38.05,16.22,677.03
2.49,91.62,366.91
40.95,110.34,994.48
15.24,114.23,628.98
23.93,100.37,708.23
36.62,29.08,684.45
25.26,53.57,593.27
9.01,46.19,321.93
9.76,61.24,377.94
40.0,70.43,863.71
34.62,81.77,821.2
22.75,84.27,639.43
38.52,6.45,652.22
11.25,12.49,258.03
40.77,5.52,683.37
25.31,86.06,690.76
4.66,25.85,195.51
24.05,80.16,649.22
10.62,32.45,305.59
11.71,50.44,374.01
38.91,87.72,914.29
6.76,10.62,185.42
49.35,107.0,1131.63
20.84,47.73,501.72
7.34,20.21,219.69
6.15,32.66,240.76
18.94,57.63,507.17
16.57,26.03,375.71
9.72,46.85,332.55
6.89,57.5,323.08
5.17,54.23,286.44
49.17,42.82,924.32
4.24,58.23,289.46
49.47,93.5,1076.63
38.14,65.17,823.26
46.25,99.88,1048.19
15.58,9.1,313.84
46.81,72.4,961.63
41.56,101.2,972.52
40.82,79.18,887.02
0.92,100.86,362.81
4.83,77.54,367.06
46.37,8.64,775.45
38.78,10.99,664.15
3.62,95.75,389.53
26.71,8.34,476.2
40.4,55.35,818.3
27.95,96.98,749.99
30.85,77.25,748.51
36.84,76.4,832.24
33.76,16.44,609.52
19.34,93.48,615.19
49.79,108.19,1122.51
1.54,103.74,383.45
36.12,55.84,764.25
32.93,44.14,671.2
7.71,100.58,459.0
17.76,51.02,469.42
27.44,115.0,814.47
44.39,24.49,793.1
18.93,47.73,477.01
10.15,18.15,258.88
48.47,93.94,1066.89
12.55,9.61,268.7
29.46,29.71,579.4
44.51,119.24,1081.02
45.78,116.94,1061.54
13.48,29.48,341.04
1.17,52.37,222.86
4.13,51.6,265.05
43.57,90.82,965.47
11.34,13.27,257.91
38.42,56.21,807.02
17.63,56.89,487.07
2.96,65.27,290.93
2.13,58.87,257.78
46.66,77.52,990.73
46.74,92.07,1024.93
20.01,24.56,422.38
25.0,59.21,602.14
39.39,113.32,986.34
43.91,29.0,778.31
20.29,46.49,493.54
41.4,57.0,845.13
3.47,61.12,285.46
38.82,22.38,689.75
43.44,42.62,834.38
16.79,73.79,520.18
21.12,45.67,499.5
26.48,73.96,681.91
15.73,19.54,347.43
38.16,102.84,925.55
25.18,66.33,617.23
33.14,9.78,575.04
23.68,100.18,706.61
22.84,22.15,456.92
9.6,113.26,541.38
26.85,103.02,752.07
49.28,65.01,972.16
7.46,30.26,251.18
23.4,53.18,560.41
39.08,45.82,767.36
36.83,119.4,962.38
41.05,68.91,883.5
46.83,118.76,1108.09
20.13,118.96,705.46
4.91,36.25,230.86
38.51,103.09,942.46
25.94,86.5,707.4
19.85,101.75,660.74
27.03,106.8,784.09
12.97,48.83,390.88
44.52,44.84,865.39
18.78,107.2,661.9
16.97,36.82,402.94
32.97,18.78,602.63
9.94,84.81,455.32
30.33,26.22,579.93
35.11,78.45,799.25
26.85,93.37,737.45
39.46,43.44,782.8
44.12,75.71,940.68
11.31,67.38,427.26
18.87,85.21,596.06
34.06,83.72,811.33
11.25,118.19,575.79
16.85,66.6,505.11
7.29,66.92,360.73
32.61,49.87,680.89
25.18,105.7,746.18
8.95,9.22,211.38
9.69,92.98,479.0
26.47,7.56,468.54
35.98,17.68,639.29
17.6,92.55,594.42
47.73,47.71,905.12
40.46,80.61,902.9
10.04,39.79,318.99
10.58,79.06,441.56
49.73,6.38,834.11
45.75,63.19,937.82
27.41,59.24,635.1
27.75,40.34,586.56
26.91,20.44,512.17
30.87,16.0,555.0
18.05,33.88,425.19
46.57,112.23,1113.48
48.48,19.42,839.45
27.3,7.12,476.45
3.57,107.13,423.46
44.61,73.27,947.44
40.39,54.15,816.94
23.14,68.36,596.33
5.73,119.01,489.34
26.58,66.78,644.97
22.27,93.77,681.5
36.33,7.88,620.87
28.75,106.68,800.89
46.35,45.61,879.86
23.21,117.88,763.14
41.87,89.93,919.72
13.62,6.94,278.28
44.84,114.97,1066.82
44.04,71.71,939.53
37.12,66.89,805.04
4.82,111.5,447.1
31.66,82.49,767.04
10.93,101.25,513.13
20.62,89.01,622.63
48.29,98.07,1069.64
14.87,100.23,569.42
33.76,116.63,905.41
25.31,32.51,518.31
29.71,55.98,649.91
1.34,65.04,263.1
17.09,5.15,318.25
19.98,20.16,406.25
25.63,84.63,696.48
22.87,64.7,590.13
40.61,54.19,817.02
21.18,92.42,656.33
9.15,43.94,317.06
11.9,71.63,437.92
40.01,95.46,920.97
41.86,88.94,959.36
37.59,27.56,704.38
25.45,83.6,681.88
29.6,101.87,804.29
6.6,84.37,395.39
36.73,9.93,625.4
6.64,53.29,314.87
10.11,52.79,365.18
38.82,74.81,850.77
1.62,112.07,408.46
29.17,58.66,667.06
21.28,107.32,685.82
47.36,110.86,1091.73
34.38,58.81,733.03
0.88,53.66,224.48
7.29,23.46,231.74
22.9,63.25,586.8
2.12,12.97,121.07
37.11,74.58,816.64
19.91,18.61,402.06
36.93,63.99,805.75
37.06,109.34,934.56
25.82,35.55,548.4
46.82,57.66,923.54
6.79,62.79,336.69
28.28,43.84,609.23
18.66,92.5,610.24
24.53,28.12,500.56
7.31,119.8,514.68
2.93,55.73,256.35
28.78,22.25,546.03
39.3,43.23,781.53
44.51,101.12,1027.95
30.61,49.67,668.53
43.94,16.93,760.03
19.55,94.25,614.32
20.86,74.33,581.44
49.99,61.69,979.87
2.6,69.26,295.46
27.46,28.6,553.58
13.33,44.57,387.0
49.53,48.04,934.41
39.77,93.44,941.4
33.55,103.3,864.19
12.25,50.84,388.83
38.04,79.85,850.53
25.23,90.88,706.85
28.35,14.58,516.13
13.26,70.02,456.13
25.45,28.36,516.71
43.43,102.61,1012.75
25.82,86.27,700.27
13.98,100.69,556.29
4.64,93.91,405.48
24.63,47.12,553.46
32.45,113.97,889.49
19.5,59.26,522.56
43.51,52.71,857.41
8.35,78.79,411.74
35.99,72.0,804.46
18.08,62.0,501.47
43.58,94.22,1002.89
7.43,82.13,407.05
12.2,55.41,398.45
5.45,84.57,384.28
1.94,76.04,306.2
46.62,65.14,945.48
2.64,44.39,222.37
33.66,59.04,726.79
19.49,18.7,396.91
40.47,20.55,716.92
29.97,44.42,636.81
23.12,51.02,543.03
29.85,61.5,685.96
33.64,8.07,568.35
23.56,11.63,439.4
43.38,106.52,1006.85
3.96,53.2,266.03
38.39,90.59,899.95
45.22,5.98,750.53
33.69,107.85,874.53
3.33,73.65,319.31
25.92,75.09,664.56
9.97,36.43,307.32
42.97,44.37,845.68
13.7,118.26,607.99
1.86,36.47,187.8
13.83,99.22,551.55
35.1,119.94,951.85
35.65,92.59,869.31
47.74,29.26,857.8
25.44,83.26,685.31
13.25,43.35,373.3
22.36,65.86,580.63
15.28,23.28,338.59
2.84,27.54,177.65
8.88,17.48,236.57
37.59,40.09,734.25
16.67,38.3,415.11
26.42,14.1,488.98
1.02,82.45,317.48
21.47,63.75,564.78
48.97,13.45,812.94
14.55,32.94,364.64
41.0,109.98,981.26
10.51,67.44,411.43
21.99,27.08,471.4
24.67,51.14,577.16
7.13,15.18,203.95
45.45,66.58,955.21
43.1,16.23,757.95
12.4,51.75,389.66
41.58,107.66,987.24
9.75,76.26,424.72
5.63,57.65,309.98
19.1,71.43,548.98
49.7,67.51,997.61
23.94,114.78,750.67
40.5,35.0,759.39
40.06,36.23,759.73
10.24,92.15,477.55
32.24,111.21,862.06
40.11,78.8,892.74
33.61,100.71,846.62
32.01,39.27,663.83
9.54,75.91,420.31
0.53,74.96,282.61
18.43,91.52,599.44
20.65,79.82,585.21
18.13,115.83,668.78
27.05,90.34,732.66
34.96,107.43,905.81
35.03,84.51,825.14
16.63,95.34,584.48
31.46,50.1,673.81
49.48,60.07,966.8
32.87,13.75,576.55
30.38,112.09,844.89
1.57,31.81,168.41
37.99,72.4,842.95
3.0,107.64,421.3
11.74,68.64,427.51
48.82,61.14,970.11
3.35,112.79,445.97
26.5,100.99,755.92
2.14,35.86,188.15
35.44,50.27,731.99
14.0,5.39,278.35
20.05,69.89,563.34
11.77,76.55,456.17
32.39,110.59,864.92
19.38,93.0,624.09
20.22,41.7,479.18
44.41,10.66,747.01
0.7,51.19,216.45
9.75,76.81,426.08
2.51,80.45,335.64
42.18,87.84,941.9
44.5,42.05,847.89
1.16,101.99,374.0
11.96,33.95,332.85
23.6,108.25,730.83
14.92,97.99,566.03
46.05,54.16,913.82
26.71,83.71,698.1
31.33,22.58,585.44
46.65,33.82,854.9
36.83,37.74,707.4
37.52,69.03,810.8
44.21,40.35,843.15
8.0,51.07,325.84
24.4,45.9,560.22
11.19,86.58,472.22
46.78,70.0,955.36
43.29,37.83,814.23
30.95,117.6,880.56
22.54,11.94,426.73
39.98,9.02,676.25
25.96,73.67,660.94
23.15,44.19,519.58
22.19,46.27,519.94
28.53,32.36,575.03
10.11,59.86,382.38
43.39,7.51,727.09
8.89,99.01,489.61
18.76,38.79,449.8
44.96,77.44,966.99
37.17,101.19,905.12
25.67,14.48,479.32
36.93,67.85,796.92
30.9,88.1,781.55
36.25,98.73,901.49
25.18,26.93,502.96
27.86,51.86,631.09
20.68,8.04,382.65
3.37,103.47,411.17
18.54,112.94,667.77
33.31,102.1,850.75
24.2,26.41,498.8
14.95,94.48,559.42
23.53,14.95,450.23
3.32,48.05,249.56
0.82,118.82,415.56
18.51,102.53,628.34
39.98,86.63,910.53
26.61,64.17,643.27
45.61,15.72,776.13
13.54,108.77,584.78
26.97,73.58,666.53
21.08,39.5,488.66
32.36,33.03,641.95
1.61,98.0,360.98
5.55,12.21,169.73
17.77,97.54,599.99
40.0,29.58,739.82
13.73,31.82,344.31
8.13,57.11,343.86
43.76,70.61,916.25
8.77,71.19,396.18
23.43,80.92,648.44
47.14,50.8,916.5
10.72,68.35,414.47
10.79,50.6,361.42
6.01,8.66,168.0
35.56,80.94,839.46
6.16,38.47,255.8
17.39,116.16,663.58
29.91,97.13,783.41
39.3,83.88,885.07
34.21,68.55,781.37
13.87,45.57,396.5
43.65,40.52,841.4
50.0,55.06,969.21
21.69,101.9,685.29
23.43,42.25,532.55
30.63,105.77,816.87
48.89,82.97,1007.17
20.66,8.0,380.51
41.81,91.54,953.13
23.3,54.36,560.87
12.83,113.01,584.81
40.56,99.37,952.84
1.79,32.26,173.06
38.82,32.6,723.38
20.07,118.06,711.22
12.62,48.28,381.65
24.75,48.55,565.03
34.9,99.02,866.24
31.14,11.37,551.47
31.01,83.78,770.48
45.6,98.51,1024.46
15.6,72.46,500.11
41.09,6.09,688.62
0.68,92.37,339.81
46.54,18.56,809.16
11.98,108.93,559.48
26.76,14.57,490.39
14.62,64.84,465.93
31.28,62.04,710.77
15.28,18.71,334.01
10.95,54.74,378.18
21.22,10.09,403.47
4.37,113.46,465.97
5.42,103.31,447.12
20.39,13.15,392.23
38.49,13.19,678.82
19.97,29.98,438.76
38.08,95.19,904.95
25.56,46.76,577.6
13.23,91.37,518.19
20.48,86.96,606.54
45.93,81.68,998.87
32.23,11.97,568.48
5.24,9.36,158.69
16.0,49.18,436.8
45.52,101.24,1023.86
6.29,6.85,166.33
5.8,38.65,251.14
7.24,25.82,236.26
31.78,75.82,742.02
18.87,16.12,382.66
11.71,108.24,551.64
2.14,119.63,443.96
5.4,83.5,379.1
32.47,55.2,692.53
12.9,43.46,375.08
40.03,57.73,822.73
10.39,98.27,498.53
18.62,106.24,644.76
7.02,19.06,208.67
28.65,56.94,650.26
22.03,17.88,435.21
44.35,31.99,808.88
6.12,11.14,177.89
18.95,83.16,588.21
35.79,112.56,927.78
4.64,36.43,232.04
15.24,69.49,485.92
36.67,39.39,717.26
22.89,19.68,453.72
45.13,61.98,925.25
47.1,107.56,1086.74
16.49,47.05,439.04
2.75,72.76,312.38
7.92,56.08,339.55
9.25,81.14,428.89
42.62,57.72,854.01
1.69,61.88,257.01
28.4,13.84,520.38
40.09,111.41,982.09
16.63,9.04,329.31
32.74,66.51,747.21
8.81,6.11,200.3
4.13,30.69,204.03
16.05,25.76,366.1
37.63,28.51,692.48
25.84,112.39,785.1
2.35,62.53,273.58
14.21,50.73,419.86
34.17,107.44,874.96
13.61,30.45,342.97
10.19,20.02,261.2
46.68,91.91,1018.15
39.59,17.05,692.8
13.51,71.21,471.68
41.2,94.54,947.48
1.22,106.12,380.88
8.15,104.07,479.03
2.44,42.59,211.26
44.47,7.94,737.78
18.86,24.85,407.11
12.98,105.92,553.06
29.67,21.34,556.43
13.34,67.82,457.0
24.83,93.78,695.96
47.44,18.32,806.38
7.98,98.18,458.94
38.11,60.71,798.16
28.0,96.0,758.45
28.9,35.51,583.17
27.47,61.07,654.34
19.37,87.67,603.68
35.19,103.4,894.74
23.62,101.02,704.77
33.04,105.07,857.82
44.68,79.03,937.66
49.01,41.77,913.28
37.34,66.18,796.28
48.26,70.74,1001.48
46.92,5.87,784.34
37.38,109.07,943.17
0.72,5.04,75.55
48.74,30.54,872.47
23.9,12.03,434.2
2.71,43.54,222.22
19.88,118.84,706.27
49.37,96.08,1063.32
49.67,116.35,1166.17
5.97,55.73,306.42
40.55,63.11,856.36
13.05,105.71,567.69
23.26,29.17,485.26
37.64,68.02,827.25
19.4,98.14,624.01
5.93,107.98,469.3
2.26,104.27,402.1
46.15,22.45,798.54
28.56,92.91,758.35
31.42,92.12,810.54
42.13,92.61,955.94
18.45,19.7,385.64
6.51,37.38,260.15
4.16,28.38,196.9
5.1,12.26,164.1
48.25,105.69,1073.12
43.86,25.25,781.22
39.03,13.03,673.38
28.06,33.51,575.13
28.81,105.17,801.6
32.45,113.81,884.22
34.66,50.19,709.11
44.05,117.68,1037.62
23.86,103.06,716.07
32.45,10.15,565.2
39.04,42.76,764.12
23.86,96.85,688.77
17.23,119.79,664.32
41.36,106.65,988.53
15.21,31.92,375.8
41.59,83.15,917.56
25.58,65.74,622.51
44.49,48.77,862.59
37.45,111.98,955.91
45.42,11.55,765.08
21.86,78.7,605.11
47.26,17.93,801.64
44.76,115.93,1066.91
24.2,16.96,467.07
18.06,107.05,648.44
48.8,69.15,972.06
29.43,55.56,661.89
15.46,12.73,317.63
27.33,74.19,678.22
30.62,49.64,666.07
24.07,118.59,764.66
22.26,79.7,623.91
42.65,113.38,1025.48
49.87,37.45,897.35
28.41,23.11,557.43
42.88,109.6,1004.21
7.47,83.63,411.29
15.96,109.6,625.37
28.19,10.26,510.49
46.63,77.21,981.22
35.65,11.46,620.31
31.77,92.93,810.99
11.7,117.17,581.18
49.76,13.69,836.18
34.62,43.88,703.17
48.4,16.67,803.02
16.64,79.24,536.85
6.99,87.42,415.57
16.58,64.46,496.73
2.76,113.72,428.34
35.87,68.83,802.29
5.89,112.19,482.91
25.3,74.5,650.77
15.49,28.04,358.2
19.81,82.35,603.75
34.68,10.28,595.27
5.3,32.13,221.93
3.06,119.57,452.84
1.5,87.72,336.41
22.24,95.48,671.18
9.76,94.95,484.75
47.81,71.73,971.26
19.39,89.49,617.02
46.42,77.33,972.95
10.99,66.18,415.38
9.24,78.02,426.63
40.5,58.34,826.93
9.45,79.38,425.53
40.75,102.15,961.9
13.3,42.45,377.91
25.38,80.46,670.86
21.07,77.57,589.34
31.91,72.97,739.19
15.03,22.18,337.99
31.62,110.17,839.32
2.29,33.02,183.43
21.77,88.84,634.07
12.5,73.37,456.74
10.28,5.75,222.1
35.49,112.81,925.33
37.45,111.68,936.09
32.52,116.58,876.24
27.38,49.1,599.99
0.57,89.15,328.7
17.58,65.06,513.17
18.32,6.84,341.77
4.46,91.88,393.21
0.97,115.29,411.93
3.37,72.11,316.92
17.79,102.0,614.56
42.95,48.09,832.06
1.33,49.88,216.85
21.88,11.52,416.0
29.61,91.97,757.52
4.87,28.22,204.03
8.16,60.39,355.86
4.12,73.98,333.88
26.56,64.37,639.72
2.52,82.31,335.91
17.59,7.02,332.12
31.03,24.85,583.6
20.95,60.48,548.12
2.75,114.36,434.16
29.31,96.51,767.66
44.03,108.03,1011.47
12.32,27.91,321.53
16.46,79.98,536.79
35.55,94.55,849.4
48.37,75.3,1014.7
36.56,44.67,723.72
12.63,87.19,505.19
26.31,83.58,699.94
22.47,73.65,598.72
14.9,87.28,532.03
15.38,81.03,527.92
34.93,85.97,824.06
20.05,34.3,460.9
8.26,84.65,428.98
45.38,51.99,888.81
42.41,23.18,764.35
12.67,82.49,491.37
2.64,101.35,395.72
11.61,12.87,260.45
24.33,24.47,483.94
17.45,70.26,526.66
14.61,48.47,412.64
4.57,42.76,247.95
21.51,67.41,581.99
2.45,54.65,249.34
19.42,79.47,579.78
49.35,39.76,914.33
2.03,24.05,150.14
5.3,54.76,291.08
17.24,19.1,368.28
15.45,87.1,541.19
30.8,54.13,669.95
29.81,45.34,624.87
11.14,18.39,271.84
31.45,61.4,713.1
43.69,67.9,916.37
36.12,17.83,645.05
9.3,95.52,476.85
27.95,77.67,710.94
22.24,83.22,637.7
16.16,23.51,367.79
20.76,81.08,596.53
30.86,98.58,821.0
1.8,56.82,248.16
32.75,64.42,746.11
49.6,11.28,820.41
8.41,49.05,323.24
8.2,115.82,519.66
32.17,66.38,734.74
40.87,77.16,895.12
45.19,109.47,1073.98
26.43,74.92,664.55
44.85,90.62,989.15
5.73,117.9,493.07
2.88,63.07,283.71
35.08,67.44,786.46
19.03,102.6,646.69
8.56,36.15,286.49
19.31,97.61,629.81
32.83,55.22,704.91
9.42,77.1,423.25
32.25,94.03,828.55
34.36,115.79,906.57
11.15,68.44,423.04
17.64,65.48,503.75
11.99,10.48,256.45
9.51,42.25,322.01
2.94,114.3,442.55
21.44,108.88,700.53
24.42,71.0,640.28
28.55,36.23,586.58
7.7,74.7,386.01
20.08,64.2,543.67
41.43,13.75,720.21
32.6,38.35,650.82
42.34,61.73,874.1
47.38,46.23,899.38
7.46,42.45,291.01
43.63,63.82,894.62
28.48,5.68,491.28
43.52,78.98,943.79
11.86,23.14,299.68
36.06,45.08,727.97
29.58,40.74,608.13
31.1,44.29,661.62
1.93,50.44,230.7
4.66,106.77,442.99
13.81,33.03,358.55
27.46,61.51,635.39
36.02,41.4,710.31
39.24,81.34,887.11
34.32,60.38,741.54
42.65,11.39,725.62
7.86,71.33,380.8
46.08,116.96,1093.84
30.49,60.34,682.6
24.92,110.36,763.78
47.8,111.61,1092.3
15.23,55.75,442.28
16.05,48.03,440.69
36.91,98.66,905.19
2.09,10.49,113.01
29.12,11.05,527.54
13.14,78.41,497.27
41.74,66.83,876.84
26.08,109.08,769.44
42.2,17.78,725.26
39.84,26.04,728.94
10.07,59.44,384.0
34.25,77.89,804.58
26.2,63.17,631.48
3.58,111.04,437.32
40.28,29.78,733.79
26.6,32.68,549.12
42.87,107.87,1032.27
32.61,88.42,787.01
32.58,109.45,875.04
21.13,41.16,484.71
4.14,62.32,293.03
24.97,72.67,650.87
43.97,114.88,1037.65
29.39,9.9,515.82
7.6,24.29,235.87
2.76,108.75,425.4
41.49,96.03,964.07
44.19,116.23,1068.04
36.3,13.13,633.36
34.25,83.97,813.7
29.45,6.4,514.87
16.94,12.16,345.15
10.72,65.66,408.16
10.6,18.88,263.44
29.57,8.6,519.46
5.78,68.25,340.09
28.88,101.43,788.1
36.25,20.09,665.19
2.34,103.36,398.8
45.36,102.8,1044.49
31.85,83.04,782.51
40.42,81.19,890.14
44.9,6.97,733.23
35.09,114.8,915.74
22.58,40.89,515.59
13.79,54.61,426.97
40.75,39.17,768.18
11.08,81.69,464.42
1.29,103.1,379.75
26.29,76.45,672.75
11.75,34.24,326.15
25.45,98.43,731.15
27.2,54.14,629.81
48.65,69.42,979.83
30.76,65.13,701.45
0.88,100.46,368.24
3.9,46.64,251.56
46.8,104.2,1056.29
22.73,45.92,526.13
34.27,116.14,907.36
44.93,9.36,750.71
47.66,81.43,1009.04
22.81,43.12,518.48
47.9,99.6,1056.92
36.85,88.61,872.63
21.54,111.35,703.46
3.63,96.48,390.95
31.28,41.22,641.74
12.74,34.78,341.13
43.84,64.24,897.19
9.73,18.82,246.72
43.58,113.03,1040.44
47.94,14.56,807.68
32.36,116.81,885.61
8.56,28.24,264.21
44.54,109.84,1062.08
37.13,81.11,855.04
41.45,83.82,908.63
37.32,59.45,789.76
15.09,97.22,570.13
8.69,79.66,420.03
12.59,108.91,567.18
39.66,45.82,776.69
47.73,102.83,1063.14
44.55,116.22,1056.48
3.99,59.2,284.91
19.19,41.46,462.72
27.03,81.04,693.35
40.74,83.03,914.0
44.51,56.67,869.57
46.67,87.24,1001.08
46.45,96.65,1027.25
14.93,116.42,624.83
16.31,15.72,345.31
14.63,39.23,390.66
23.71,7.51,425.36
42.76,97.3,993.53
33.24,42.36,656.62
17.27,102.54,621.81
24.43,100.76,719.18
25.73,65.16,633.57
11.16,87.65,481.04
28.75,110.13,805.04
26.55,20.76,506.19
10.59,8.58,234.94
25.91,14.72,486.43
36.13,13.9,633.31
11.6,82.47,472.64
27.53,115.15,819.05
37.51,102.76,927.87
30.96,41.98,627.38
28.73,32.22,575.58
37.09,110.36,928.09
23.16,78.92,643.29
39.82,34.5,753.45
26.69,115.46,798.85
48.13,39.57,885.34
43.14,112.37,1025.67
17.03,9.12,335.34
41.66,102.71,968.98
4.3,91.6,394.31
36.46,109.95,933.86
37.42,77.53,848.43
21.63,108.74,692.8
4.63,38.43,238.65
27.41,36.7,572.1
8.91,97.05,467.61
24.48,70.99,627.43
20.8,97.94,650.08
38.62,30.64,711.26
49.42,114.49,1141.86
28.38,85.37,736.48
35.14,115.23,930.82
30.02,78.17,738.04
36.78,31.93,703.79
18.88,21.94,386.72
49.86,75.29,1027.88
39.43,43.41,774.69
35.0,38.86,699.35
27.66,77.91,704.15
44.96,116.66,1076.2
33.54,116.77,898.67
21.66,32.42,475.75
0.71,26.63,138.05
38.21,100.74,918.86
48.78,78.83,998.99
11.5,29.49,309.81
20.75,119.06,722.74
17.95,57.58,487.76
7.86,51.57,322.87
5.35,95.91,414.0
28.55,88.26,729.36
5.36,65.24,321.99
25.97,58.83,620.48
37.66,21.54,683.06
31.29,14.24,556.9
7.06,104.14,475.42
30.89,45.79,650.97
46.2,73.58,959.02
48.6,20.69,852.57
26.51,15.47,495.61
29.35,75.35,722.81
38.65,81.3,880.6
11.18,51.49,372.43
15.97,30.92,379.18
25.54,74.7,659.58
21.62,43.51,498.66
28.5,94.97,766.97
38.14,49.74,777.02
37.71,49.48,767.47
16.3,53.79,447.71
24.87,103.48,717.15
12.76,52.0,398.89
26.03,90.8,710.76
19.29,46.45,476.79
19.89,96.25,637.24
31.38,31.7,603.21
36.08,67.92,805.64
12.55,106.57,556.67
28.27,75.06,700.42
30.28,91.62,780.62
21.95,67.95,585.79
0.56,37.48,169.96
29.41,73.48,711.82
25.72,88.41,711.8
25.18,74.98,651.24
19.56,5.41,362.74
30.86,8.42,545.75
27.72,36.01,573.94
39.42,36.02,754.58
8.91,109.09,518.44
10.43,118.8,567.96
39.72,34.52,757.53
22.49,80.8,641.08
31.88,18.18,579.54
39.16,87.88,892.37
13.77,50.22,408.98
14.36,31.2,360.87
28.49,30.98,576.86
45.94,26.99,810.42
10.59,42.32,337.92
0.85,83.4,315.45
18.28,60.19,501.81
48.3,32.85,881.31
11.44,62.61,412.79
17.83,93.77,596.05
39.08,32.04,749.25
37.8,104.52,933.18
20.7,117.91,716.92
19.29,78.44,580.54
3.76,92.79,387.93
38.85,82.25,878.69
5.97,59.23,311.31
12.57,45.15,372.21
4.29,110.79,444.05
26.76,50.63,616.68
46.13,25.55,823.56
15.13,117.22,627.33
7.81,8.03,191.14
49.5,37.07,899.91
4.54,60.38,299.51
20.61,74.71,587.47
26.97,84.78,708.17
44.88,21.89,786.03
7.41,63.95,352.13
16.4,53.66,452.76
16.27,65.67,491.52
47.36,49.99,908.89
7.71,31.45,258.35
31.1,12.75,567.55
21.38,7.2,389.38
49.28,47.22,924.46
24.01,49.67,565.3
17.46,7.51,337.17
34.67,21.72,633.34
29.76,107.61,812.67
43.46,39.68,824.69
22.98,65.51,591.89
24.26,74.54,626.45
24.23,112.45,744.77
46.08,13.83,775.47
30.67,83.4,775.03
9.05,103.05,495.17
7.43,51.09,314.98
33.65,113.24,887.41
37.1,67.23,807.89
28.28,73.55,700.11
20.79,101.43,667.67
36.25,108.96,908.49
44.25,63.51,893.36
23.67,109.22,744.69
46.57,107.97,1070.86
26.17,94.6,729.84
28.32,119.25,847.39
39.73,61.82,828.34
42.92,67.81,889.05
19.97,89.4,616.48
46.1,33.94,834.98
34.69,115.42,912.82
32.23,75.96,754.81
36.61,74.24,822.78
33.24,108.36,879.5
46.4,118.84,1109.95
29.27,17.52,549.51
1.87,11.54,112.44
3.82,89.07,365.84
5.73,89.21,403.66
16.39,35.51,405.45
18.44,78.77,574.01
13.93,96.41,544.99
39.23,86.41,893.53
9.54,18.37,249.36
16.7,80.69,545.65
6.65,63.31,339.51
4.2,59.64,291.26
21.37,56.1,538.14
37.95,47.43,758.26
35.9,47.49,742.84
47.56,17.52,800.04
2.13,74.92,297.78
32.43,68.9,732.41
31.89,105.51,844.7
23.36,78.55,646.75
23.06,57.64,576.34
14.3,65.1,459.58
17.58,17.05,365.61
17.71,119.41,671.19
15.47,32.45,383.98
10.03,86.58,461.32
3.54,110.68,422.29
48.68,118.89,1130.92
32.68,19.62,618.74
25.97,70.49,655.55
1.43,86.79,329.73
28.73,70.36,694.44
34.28,14.82,599.96
